latitude,longitude,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,source,operator,network_type,label_source,sample_weight,is_deadzone,signal_target,regression_weight,quality_score,cost231_predicted_rsrp,p1812_rsrp_dbm,p1812_distance_km,p1812_diffraction_loss_db
34.45448326886294,35.80718994140625,84149.0,15077.0,23.0,5.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-77.489819677601,0.6,0.9533503378250393,,,,
34.45448326886294,35.81268310546875,31803.0,6796.0,25.0,4.0,4.0,ookla,Unknown,Unknown,ookla,2.0,0,-88.26382616245775,0.6,0.8552134406376759,,,,
34.45448326886294,35.82916259765625,6683.0,9747.0,28.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-97.90716110350144,0.6,0.7318751734741947,,,,
34.45448326886294,35.85662841796875,6922.0,19713.0,17.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-97.65369576692001,0.6,0.7557616576996337,,,,
34.44995361537076,35.80718994140625,42280.0,15517.0,25.0,4.0,3.0,ookla,Unknown,Unknown,ookla,2.0,0,-86.20976359083383,0.6,0.8958430571880801,,,,
34.44995361537076,35.81268310546875,63402.0,19749.0,21.0,3.0,3.0,ookla,Unknown,Unknown,ookla,2.0,0,-81.57399744355932,0.6,0.9366806218644204,,,,
34.44542371620849,35.80718994140625,26198.0,17217.0,18.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-89.66235708360348,0.6,0.8624809925082063,,,,
34.44089357139115,35.81268310546875,27737.0,18744.0,22.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-89.25058169459614,0.6,0.866628163895801,,,,
34.44995361537076,35.81817626953125,13907.0,8014.0,24.0,25.0,7.0,ookla,Unknown,Unknown,ookla,2.0,0,-93.2003134702244,0.6,0.7907802181402271,,,,
34.44542371620849,35.81817626953125,24592.0,8353.0,75.0,6.0,4.0,ookla,Unknown,Unknown,ookla,2.0,0,-90.08978939489164,0.6,0.8090537862069322,,,,
34.44542371620849,35.82366943359375,58639.0,7893.0,24.0,7.0,5.0,ookla,Unknown,Unknown,ookla,2.0,0,-82.70067594201149,0.6,0.9095042737555904,,,,
34.44995361537076,35.82916259765625,29284.0,9484.0,27.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-88.85907732620058,0.6,0.8541133270661706,,,,
